"Bloc";"CodNua";"LibNua";"Definition";"NumOrdNua";"fill"
"EXG";"LEXG";"Extrême gauche";"Lutte ouvrière; Nouveau Parti Anticapitaliste; Parti ouvrier indépendant; ou autres listes présentées par un parti d'extrême gauche.";1;"#BC1415"
"GAU";"LCOM";"Parti communiste français";"Listes du Parti communiste français.";2;"#BC1415"
"GAU";"LFI";"La France insoumise";"Listes de La France insoumise.";3;"#BC1415"
"GAU";"LSOC";"Parti socialiste";"Listes du Parti socialiste.";4;"#EE174B"
"GAU";"LRDG";"Parti radical de gauche";"Listes du Parti radical de gauche.";5;"#FF92BE"
"GAU";"LDVG";"Divers gauche";"Listes d'union investies par plusieurs partis du bloc de gauche, dont le Parti socialiste.";6;"#FF92BE"
"GAU";"LUG";"Union de la gauche";"Listes soutenues par un parti de gauche ayant une nuance de liste (sans investiture) ou investies par un ou plusieurs autres partis de gauche (Génération.s ; Place publique; Nouvelle Donne; Mouvement Républicain et Citoyen; Mouvement des progressistes; autres). Autres listes de sensibilité de gauche (dont listes dissidentes).";7;"#EE174B"
"GAU";"LVEC";"Europe Ecologie-Les Verts";"Listes d'Europe Ecologie-Les Verts.";8;"#7CA700"
"AUT";"LECO";"Ecologiste";"Union des démocrates et des écologistes; Alliance Ecologiste Indépendante;  Rassemblement citoyen-CAP 21 ; Confédération pour l'Homme, l'animal, la planète; ou autres listes écologistes (hors Europe Ecologies-Les Verts).";9;"#7CA700"
"AUT";"LDIV";"Divers";"Listes inclassables; Union Populaire Républicaine; Parti animaliste ; Parti du vote blanc; Parti Pirate; Rassemblement des Contribuables Français (et autres mouvements anti-fiscalistes) ; Solidarité et Progrès, partis socioprofessionnels, etc.";10;"#666666"
"AUT";"LREG";"Régionaliste";"Listes régionalistes, indépendantistes ou autonomistes.";11;"#666666"
"AUT";"LGJ";"Gilets jaunes";"Listes se réclamant du mouvement dit des Gilets Jaunes.";12;"#F1CE01"
"CENT";"LREM";"La République en marche";"Listes de La République en marche.";13;"#4C33FF"
"CENT";"LMDM";"Modem";"Listes du Mouvement démocrate.";14;"#96ADD9"
"CENT";"LUDI";"Union des Démocrates et Indépendants";"Listes de l'Union des Démocrates et Indépendants.";15;"#96ADD9"
"CENT";"LUC";"Union du centre";"Listes d'union investies par plusieurs partis du bloc du centre, dont La République en Marche.";16;"#A5D8F6"
"CENT";"LDVC";"Divers centre";"Listes soutenues par un parti du centre ayant une nuance de liste (sans investiture) ou investie par un ou plusieurs autres partis du centre (Agir, Mouvement Radical/Social Libéral, autres partis du centre). Autres listes de sensibilité centriste (dont listes dissidentes).";17;"#666666"
"DTE";"LLR";"Les Républicains";"Listes des Républicains.";18;"#007FCC"
"DTE";"LUD";"Union de la droite";"Listes d'union investies par plusieurs partis du bloc de droite, dont Les Républicains.";19;"#0081C3"
"DTE";"LDVD";"Divers droite";"Listes soutenues par un parti de droite ayant une nuance de liste (sans investiture) ou investies par un ou plusieurs autres partis de droite (Les centristes; Mouvement pour la France; Parti chrétien démocrate; Centre National des Indépendants et des Paysans; Alliance Royale; Chasse, pêche, nature et tradition; La France qui ose; Parti Libéral Démocrate; autres). Autres listes de sensibilité de droite (dont listes dissidentes).";20;"#A5D8F6"
"DTE";"LDLF";"Debout la France";"Listes de Debout la France.";21;"#70257B"
"EXD";"LRN";"Rassemblement National";"Listes du Rassemblement National.";22;"#00456F"
"EXD";"LEXD";"Extrême droite";"Listes présentées par un parti d'extrême droite (Les Patriotes; Comités Jeanne; Mouvement National Républicain; Les identitaires, Ligue du Sud, Parti de la France, Souveraineté, Identité et Libertés (SIEL) ; Front des patriotes républicains; Civitas ; autres).";23;"#000000"
